GEO_ID,NAME,,S0101_C01_001E,S0101_C01_002E,S0101_C01_003E,S0101_C01_004E,S0101_C01_005E,S0101_C01_006E,
29001,"Adair County, Missouri",13506,25325,1259,1241,1206,2898,5215,11819
29003,"Andrew County, Missouri",12090,17403,969,942,1344,1096,962,5313
29005,"Atchison County, Missouri",3926,5270,269,276,292,264,243,1344
29007,"Audrain County, Missouri",17629,25735,1606,1472,1814,1557,1657,8106
29009,"Barry County, Missouri",24636,35493,2030,2107,2423,2413,1884,10857
29011,"Barton County, Missouri",8074,11850,682,726,896,822,650,3776
29013,"Bates County, Missouri",11269,16374,997,1152,1072,1024,860,5105
29015,"Benton County, Missouri",14639,18989,784,966,928,994,678,4350
29017,"Bollinger County, Missouri",8706,12281,637,758,808,770,602,3575
29019,"Boone County, Missouri",105495,176515,10455,9958,9822,14378,26407,71020
29021,"Buchanan County, Missouri",60435,89076,5718,5606,5729,5521,6067,28641
29023,"Butler County, Missouri",29206,42733,2614,3072,2615,2765,2461,13527
29025,"Caldwell County, Missouri",6189,9049,547,653,585,608,467,2860
29027,"Callaway County, Missouri",30588,44840,2451,2560,2639,3239,3363,14252
29029,"Camden County, Missouri",33978,45096,1980,2148,2335,2449,2206,11118
29031,"Cape Girardeau County, Missouri",50269,78324,4448,5282,4318,5643,8364,28055
29033,"Carroll County, Missouri",6186,8843,573,546,544,523,471,2657
29035,"Carter County, Missouri",4201,6197,349,368,480,466,333,1996
29037,"Cass County, Missouri",69335,102678,6151,7614,6960,7006,5612,33343
29039,"Cedar County, Missouri",9658,13938,893,947,915,919,606,4280
29041,"Chariton County, Missouri",5300,7546,484,453,484,492,333,2246
29043,"Christian County, Missouri",56321,84275,5327,6624,5869,5595,4539,27954
29045,"Clark County, Missouri",4779,6800,407,493,401,402,318,2021
29047,"Clay County, Missouri",160961,239164,15671,16560,16647,15053,14272,78203
29049,"Clinton County, Missouri",14145,20475,1104,1371,1457,1342,1056,6330
29051,"Cole County, Missouri",52631,76740,4656,4686,5112,4980,4675,24109
29053,"Cooper County, Missouri",12230,17622,990,1093,1134,1049,1126,5392
29055,"Crawford County, Missouri",16856,24280,1391,1622,1585,1499,1327,7424
29057,"Dade County, Missouri",5457,7590,354,445,465,501,368,2133
29059,"Dallas County, Missouri",11359,16499,971,1249,1114,1105,701,5140
29061,"Daviess County, Missouri",5509,8302,533,514,705,524,517,2793
29063,"DeKalb County, Missouri",9425,12564,547,603,561,544,884,3139
29065,"Dent County, Missouri",10977,15504,874,1095,899,1015,644,4527
29067,"Douglas County, Missouri",9637,13374,718,824,836,692,667,3737
29069,"Dunklin County, Missouri",20069,30428,2139,2014,2367,2199,1640,10359
29071,"Franklin County, Missouri",70891,102781,6204,6374,6917,6478,5917,31890
29073,"Gasconade County, Missouri",10571,14746,758,869,926,854,768,4175
29075,"Gentry County, Missouri",4513,6665,465,468,441,405,373,2152
29077,"Greene County, Missouri",188021,288429,17550,16360,16943,19017,30538,100408
29079,"Grundy County, Missouri",6764,10039,710,622,633,596,714,3275
29081,"Harrison County, Missouri",5884,8554,529,664,561,516,400,2670
29083,"Henry County, Missouri",15495,21765,1242,1205,1531,1264,1028,6270
29085,"Hickory County, Missouri",7311,9368,409,419,447,476,306,2057
29087,"Holt County, Missouri",3298,4456,253,240,281,204,180,1158
29089,"Howard County, Missouri",6571,10113,624,596,667,771,884,3542
29091,"Howell County, Missouri",27261,40102,2472,2618,2763,2452,2536,12841
29093,"Iron County, Missouri",7350,10221,521,525,680,624,521,2871
29095,"Jackson County, Missouri",468822,692003,46674,45798,45829,41640,43240,223181
29097,"Jasper County, Missouri",77951,119238,8365,7939,8738,8028,8217,41287
29099,"Jefferson County, Missouri",153343,223302,13412,15212,15064,13772,12499,69959
29101,"Johnson County, Missouri",31014,53689,3446,3006,3235,4425,8563,22675
29103,"Knox County, Missouri",2676,3951,230,262,234,334,215,1275
29105,"Laclede County, Missouri",24145,35507,2322,2184,2731,2190,1935,11362
29107,"Lafayette County, Missouri",22565,32589,1797,2182,2128,2162,1755,10024
29109,"Lawrence County, Missouri",25499,38133,2521,2469,2919,2724,2001,12634
29111,"Lewis County, Missouri",6528,10027,544,577,760,894,724,3499
29113,"Lincoln County, Missouri",36484,55563,3764,4010,3868,4002,3435,19079
29115,"Linn County, Missouri",8356,12186,720,762,922,765,661,3830
29117,"Livingston County, Missouri",10697,15076,912,856,945,812,854,4379
29119,"McDonald County, Missouri",15047,22827,1562,1628,1630,1645,1315,7780
29121,"Macon County, Missouri",10522,15254,922,1197,898,919,796,4732
29123,"Madison County, Missouri",8564,12205,678,852,745,729,637,3641
29125,"Maries County, Missouri",6333,8884,405,569,509,648,420,2551
29127,"Marion County, Missouri",19260,28672,1818,1857,2010,1991,1736,9412
29129,"Mercer County, Missouri",2458,3664,243,239,258,347,119,1206
29131,"Miller County, Missouri",17186,25049,1619,1643,1597,1616,1388,7863
29133,"Mississippi County, Missouri",9720,13748,620,879,1037,904,588,4028
29135,"Moniteau County, Missouri",10631,15958,1085,1062,1204,1125,851,5327
29137,"Monroe County, Missouri",6122,8654,499,385,659,568,421,2532
29139,"Montgomery County, Missouri",8169,11545,737,783,675,628,553,3376
29141,"Morgan County, Missouri",14230,20137,1171,1257,1309,1197,973,5907
29143,"New Madrid County, Missouri",12268,17811,1123,1188,1159,1174,899,5543
29145,"Newton County, Missouri",39121,58202,3641,3441,4455,4005,3539,19081
29147,"Nodaway County, Missouri",12462,22547,1058,964,998,2556,4509,10085
29149,"Oregon County, Missouri",7586,10699,655,699,600,641,518,3113
29151,"Osage County, Missouri",9236,13619,772,830,1010,932,839,4383
29153,"Ozark County, Missouri",6900,9236,400,658,402,469,407,2336
29155,"Pemiscot County, Missouri",11060,17031,1270,1077,1343,1193,1088,5971
29157,"Perry County, Missouri",13066,19146,1146,1382,1285,1174,1093,6080
29159,"Pettis County, Missouri",28088,42371,2866,2702,3195,2804,2716,14283
29161,"Phelps County, Missouri",27925,44789,2577,2644,2693,3837,5113,16864
29163,"Pike County, Missouri",12800,18489,1087,1130,1113,1105,1254,5689
29165,"Platte County, Missouri",67000,98824,6125,6455,6860,6274,6110,31824
29167,"Polk County, Missouri",20204,31549,1892,1886,2086,2699,2782,11345
29169,"Pulaski County, Missouri",29000,52591,3558,3212,3114,6586,7121,23591
29171,"Putnam County, Missouri",3349,4815,306,285,314,262,299,1466
29173,"Ralls County, Missouri",7270,10217,499,622,659,629,538,2947
29175,"Randolph County, Missouri",17171,24945,1466,1696,1371,1536,1705,7774
29177,"Ray County, Missouri",15783,22825,1265,1371,1630,1456,1320,7042
29179,"Reynolds County, Missouri",4624,6315,257,364,362,401,307,1691
29181,"Ripley County, Missouri",9602,13693,905,987,756,746,697,4091
29183,"St. Charles County, Missouri",263532,389985,23678,25927,27020,25648,24180,126453
29185,"St. Clair County, Missouri",6963,9383,488,455,565,483,429,2420
29186,"Ste. Genevieve County, Missouri",12631,17871,871,1120,1130,1151,968,5240
29187,"St. Francois County, Missouri",46667,66342,3518,3816,4232,3841,4268,19675
29189,"St. Louis County, Missouri",689502,998684,58649,59952,63136,64197,63248,309182
29195,"Saline County, Missouri",15209,23102,1431,1476,1537,1803,1646,7893
29197,"Schuyler County, Missouri",2954,4502,360,343,279,311,255,1548
29199,"Scotland County, Missouri",3113,4898,404,416,349,301,315,1785
29201,"Scott County, Missouri",26347,38729,2476,2900,2336,2288,2382,12382
29203,"Shannon County, Missouri",5807,8246,451,591,446,586,365,2439
29205,"Shelby County, Missouri",4172,6061,372,477,355,378,307,1889
29207,"Stoddard County, Missouri",20596,29512,1776,1804,1783,1887,1666,8916
29209,"Stone County, Missouri",24251,31527,1206,1097,1869,1706,1398,7276
29211,"Sullivan County, Missouri",4472,6317,390,323,468,358,306,1845
29213,"Taney County, Missouri",37622,54720,3222,2907,3457,3583,3929,17098
29215,"Texas County, Missouri",18319,25671,1406,1776,1363,1481,1326,7352
29217,"Vernon County, Missouri",13811,20691,1256,1409,1358,1561,1296,6880
29219,"Warren County, Missouri",23238,33908,2262,2270,2288,1952,1898,10670
29221,"Washington County, Missouri",17250,24931,1452,1692,1599,1522,1416,7681
29223,"Wayne County, Missouri",9639,13308,678,674,924,781,612,3669
29225,"Webster County, Missouri",24717,38082,2788,3114,2672,2670,2121,13365
29227,"Worth County, Missouri",1479,2040,118,140,89,131,83,561
29229,"Wright County, Missouri",12415,18293,1253,1243,1234,1217,931,5878
29510,"St. Louis city, Missouri",219694,311273,20178,15460,16686,16435,22820,91579
0400000US29,Missouri,4124838,6090062,372932,381583,392635,396819,421255,1965224
